央视频道,#genre#
CCTV1,http://223.111.150.99:2005/zhibo/ysws.php?id=CCTV1
CCTV2,http://223.111.150.99:2005/zhibo/ysws.php?id=CCTV2
CCTV3,http://223.111.150.99:2005/zhibo/ysws.php?id=CCTV3
CCTV4,http://223.111.150.99:2005/zhibo/ysws.php?id=CCTV4
CCTV5,http://223.111.150.99:2005/zhibo/ysws.php?id=CCTV5
CCTV5+,http://223.111.150.99:2005/zhibo/ysws.php?id=CCTV5p
CCTV6,http://223.111.150.99:2005/zhibo/ysws.php?id=CCTV6
CCTV7,http://223.111.150.99:2005/zhibo/ysws.php?id=CCTV7
CCTV8,http://223.111.150.99:2005/zhibo/ysws.php?id=CCTV8
CCTV9,http://223.111.150.99:2005/zhibo/ysws.php?id=CCTV9
CCTV10,http://223.111.150.99:2005/zhibo/ysws.php?id=CCTV10
CCTV11,http://223.111.150.99:2005/zhibo/ysws.php?id=CCTV11
CCTV12,http://223.111.150.99:2005/zhibo/ysws.php?id=CCTV12
CCTV13,http://223.111.150.99:2005/zhibo/ysws.php?id=CCTV13
CCTV14,http://223.111.150.99:2005/zhibo/ysws.php?id=CCTV14
CCTV15,http://223.111.150.99:2005/zhibo/ysws.php?id=CCTV15
CCTV16,http://223.111.150.99:2005/zhibo/ysws.php?id=CCTV16
CCTV17,http://223.111.150.99:2005/zhibo/ysws.php?id=CCTV17

CCTV1,http://154.219.105.170:82/iptvYS5098.php?id=20000
CCTV2,http://154.219.105.170:82/iptvYS5098.php?id=20001
CCTV3,http://154.219.105.170:82/iptvYS5098.php?id=20002
CCTV4,http://154.219.105.170:82/iptvYS5098.php?id=20003
CCTV5,http://154.219.105.170:82/iptvYS5098.php?id=20004
CCTV5+,http://154.219.105.170:82/iptvYS5098.php?id=20005
CCTV6,http://154.219.105.170:82/iptvYS5098.php?id=20006
CCTV7,http://154.219.105.170:82/iptvYS5098.php?id=20007
CCTV8,http://154.219.105.170:82/iptvYS5098.php?id=20008
CCTV9,http://154.219.105.170:82/iptvYS5098.php?id=20009
CCTV10,http://154.219.105.170:82/iptvYS5098.php?id=20010
CCTV11,http://154.219.105.170:82/iptvYS5098.php?id=20011
CCTV12,http://154.219.105.170:82/iptvYS5098.php?id=20012
CCTV13,http://154.219.105.170:82/iptvYS5098.php?id=20013
CCTV14,http://154.219.105.170:82/iptvYS5098.php?id=20014
CCTV15,http://154.219.105.170:82/iptvYS5098.php?id=20015
